id,currencyType,USDprice,BTCprice,moment_tstamp
207,USD,2260.20,0.00044,2017-05-28+06:19:56
208,USD,2261.80,0.00044,2017-05-28+06:21:04
209,USD,2263.53,0.00044,2017-05-28+06:21:56
210,USD,2262.04,0.00044,2017-05-28+06:22:55
211,USD,2262.31,0.00044,2017-05-28+06:23:56
212,USD,2262.05,0.00044,2017-05-28+06:24:56
213,USD,2262.05,0.00044,2017-05-28+06:25:56
214,USD,2261.26,0.00044,2017-05-28+06:26:56
215,USD,2257.68,0.00044,2017-05-28+06:27:56
216,USD,2260.09,0.00044,2017-05-28+06:28:55
217,USD,2255.09,0.00044,2017-05-28+06:29:56
218,USD,2256.07,0.00044,2017-05-28+06:30:56
219,USD,2257.69,0.00044,2017-05-28+06:31:55
220,USD,2257.08,0.00044,2017-05-28+06:32:56
221,USD,2257.78,0.00044,2017-05-28+06:33:56
222,USD,2258.37,0.00044,2017-05-28+06:34:56
223,USD,2257.88,0.00044,2017-05-28+06:35:56
224,USD,2257.78,0.00044,2017-05-28+06:36:56
225,USD,2258.50,0.00044,2017-05-28+06:37:56
226,USD,2256.83,0.00044,2017-05-28+06:38:56
227,USD,2257.45,0.00044,2017-05-28+06:39:56
228,USD,2255.27,0.00044,2017-05-28+06:40:56
229,USD,2251.88,0.00044,2017-05-28+06:41:56
230,USD,2245.10,0.00045,2017-05-28+06:42:56
231,USD,2239.29,0.00045,2017-05-28+06:43:56
232,USD,2239.52,0.00045,2017-05-28+06:44:56
233,USD,2241.28,0.00045,2017-05-28+06:45:57
234,USD,2244.31,0.00045,2017-05-28+06:46:56
235,USD,2242.00,0.00045,2017-05-28+06:47:56
236,USD,2241.49,0.00045,2017-05-28+06:48:56
237,USD,2238.06,0.00045,2017-05-28+06:49:56
238,USD,2233.70,0.00045,2017-05-28+06:50:56
239,USD,2231.19,0.00045,2017-05-28+06:51:56
240,USD,2233.20,0.00045,2017-05-28+06:52:56
241,USD,2233.10,0.00045,2017-05-28+06:53:57
242,USD,2224.83,0.00045,2017-05-28+06:54:56
243,USD,2223.09,0.00045,2017-05-28+06:55:57
244,USD,2222.41,0.00045,2017-05-28+06:56:56
245,USD,2223.57,0.00045,2017-05-28+06:57:56
246,USD,2228.46,0.00045,2017-05-28+06:58:56
247,USD,2229.51,0.00045,2017-05-28+06:59:56
248,USD,2228.28,0.00045,2017-05-28+07:00:56
249,USD,2226.80,0.00045,2017-05-28+07:01:56
250,USD,2227.07,0.00045,2017-05-28+07:02:56
251,USD,2229.03,0.00045,2017-05-28+07:03:56
252,USD,2227.52,0.00045,2017-05-28+07:04:56
253,USD,2228.02,0.00045,2017-05-28+07:05:56
254,USD,2228.44,0.00045,2017-05-28+07:06:56
255,USD,2230.25,0.00045,2017-05-28+07:07:56
256,USD,2230.17,0.00045,2017-05-28+07:08:56
257,USD,2229.05,0.00045,2017-05-28+07:09:56
258,USD,2228.23,0.00045,2017-05-28+07:10:56
259,USD,2229.34,0.00045,2017-05-28+07:11:56
260,USD,2228.99,0.00045,2017-05-28+07:12:56
261,USD,2229.14,0.00045,2017-05-28+07:13:56
262,USD,2227.37,0.00045,2017-05-28+07:14:56
263,USD,2227.16,0.00045,2017-05-28+07:15:56
264,USD,2228.14,0.00045,2017-05-28+07:16:56
265,USD,2225.05,0.00045,2017-05-28+07:17:56
266,USD,2224.63,0.00045,2017-05-28+07:18:56
267,USD,2226.07,0.00045,2017-05-28+07:19:56
268,USD,2226.52,0.00045,2017-05-28+07:20:56
269,USD,2225.90,0.00045,2017-05-28+07:21:56
270,USD,2226.93,0.00045,2017-05-28+07:22:56
271,USD,2225.87,0.00045,2017-05-28+07:23:56
272,USD,2227.72,0.00045,2017-05-28+07:24:58
273,USD,2225.01,0.00045,2017-05-28+07:25:57
274,USD,2226.83,0.00045,2017-05-28+07:26:57
275,USD,2211.39,0.00045,2017-05-28+07:27:58
276,USD,2207.36,0.00045,2017-05-28+07:28:56
277,USD,2207.37,0.00045,2017-05-28+07:29:56
278,USD,2210.16,0.00045,2017-05-28+07:30:56
279,USD,2206.45,0.00045,2017-05-28+07:31:56
280,USD,2204.83,0.00045,2017-05-28+07:32:56
281,USD,2203.66,0.00045,2017-05-28+07:33:56
282,USD,2195.35,0.00046,2017-05-28+07:34:56
283,USD,2199.76,0.00045,2017-05-28+07:35:56
284,USD,2193.89,0.00046,2017-05-28+07:36:56
285,USD,2189.93,0.00046,2017-05-28+07:37:56
286,USD,2177.06,0.00046,2017-05-28+07:38:56
287,USD,2162.44,0.00046,2017-05-28+07:39:56
288,USD,2168.20,0.00046,2017-05-28+07:40:56
289,USD,2172.63,0.00046,2017-05-28+07:41:56
290,USD,2167.22,0.00046,2017-05-28+07:42:56
291,USD,2167.71,0.00046,2017-05-28+07:43:56
292,USD,2165.88,0.00046,2017-05-28+07:44:56
293,USD,2162.60,0.00046,2017-05-28+07:45:56
294,USD,2156.81,0.00046,2017-05-28+07:46:56
295,USD,2158.86,0.00046,2017-05-28+07:47:56
296,USD,2158.45,0.00046,2017-05-28+07:48:56
297,USD,2157.97,0.00046,2017-05-28+07:49:56
298,USD,2159.95,0.00046,2017-05-28+07:50:56
299,USD,2161.77,0.00046,2017-05-28+07:51:57
300,USD,2163.02,0.00046,2017-05-28+07:52:56
301,USD,2163.36,0.00046,2017-05-28+07:53:56
302,USD,2162.44,0.00046,2017-05-28+07:54:56
303,USD,2161.46,0.00046,2017-05-28+07:55:56
304,USD,2164.03,0.00046,2017-05-28+07:56:58
305,USD,2165.94,0.00046,2017-05-28+07:57:56
306,USD,2164.56,0.00046,2017-05-28+07:58:56
307,USD,2165.44,0.00046,2017-05-28+07:59:57
308,USD,2165.99,0.00046,2017-05-28+08:00:56
309,USD,2164.42,0.00046,2017-05-28+08:01:56
310,USD,2161.55,0.00046,2017-05-28+08:02:56
311,USD,2164.45,0.00046,2017-05-28+08:03:56
312,USD,2165.43,0.00046,2017-05-28+08:04:56
313,USD,2166.65,0.00046,2017-05-28+08:05:56
314,USD,2170.29,0.00046,2017-05-28+08:06:56
315,USD,2174.55,0.00046,2017-05-28+08:07:56
316,USD,2174.62,0.00046,2017-05-28+08:08:56
317,USD,2172.95,0.00046,2017-05-28+08:09:56
318,USD,2173.65,0.00046,2017-05-28+08:10:56
319,USD,2171.06,0.00046,2017-05-28+08:11:56
320,USD,2169.84,0.00046,2017-05-28+08:12:56
321,USD,2168.79,0.00046,2017-05-28+08:13:57
322,USD,2162.77,0.00046,2017-05-28+08:14:56
323,USD,2154.90,0.00046,2017-05-28+08:15:57
324,USD,2143.92,0.00047,2017-05-28+08:16:56
325,USD,2123.49,0.00047,2017-05-28+08:17:57
326,USD,2119.07,0.00047,2017-05-28+08:18:56
327,USD,2119.71,0.00047,2017-05-28+08:19:57
328,USD,2125.83,0.00047,2017-05-28+08:20:57
329,USD,2126.47,0.00047,2017-05-28+08:21:57
330,USD,2129.58,0.00047,2017-05-28+08:22:56
331,USD,2125.09,0.00047,2017-05-28+08:23:56
332,USD,2128.78,0.00047,2017-05-28+08:24:57
333,USD,2128.66,0.00047,2017-05-28+08:25:56
334,USD,2135.15,0.00047,2017-05-28+08:26:57
335,USD,2136.64,0.00047,2017-05-28+08:27:57
336,USD,2139.82,0.00047,2017-05-28+08:28:57
337,USD,2130.92,0.00047,2017-05-28+08:29:57
338,USD,2116.81,0.00047,2017-05-28+08:30:56
339,USD,2115.09,0.00047,2017-05-28+08:31:57
340,USD,2114.77,0.00047,2017-05-28+08:32:57
341,USD,2115.10,0.00047,2017-05-28+08:33:58
342,USD,2118.82,0.00047,2017-05-28+08:34:57
343,USD,2122.78,0.00047,2017-05-28+08:35:57
344,USD,2127.25,0.00047,2017-05-28+08:36:57
345,USD,2128.23,0.00047,2017-05-28+08:37:56
346,USD,2135.62,0.00047,2017-05-28+08:38:57
347,USD,2131.18,0.00047,2017-05-28+08:39:57
348,USD,2132.66,0.00047,2017-05-28+08:40:57
349,USD,2136.23,0.00047,2017-05-28+08:41:57
350,USD,2135.73,0.00047,2017-05-28+08:42:57
351,USD,2135.23,0.00047,2017-05-28+08:43:57
352,USD,2138.28,0.00047,2017-05-28+08:44:57
353,USD,2142.22,0.00047,2017-05-28+08:45:57
354,USD,2141.84,0.00047,2017-05-28+08:46:57
355,USD,2143.91,0.00047,2017-05-28+08:47:57
